company_id,sic_code,regional_folder,quality_flag,n_pages,company_text_length,hash_algorithm,sha256_document_hash,text_shared_in_repository,crawl_date
RMCT_COMP_0031,24100,Primary_Metal_Production,usable_rich,1,7729,SHA-256,d4aea76a59a32ad1d3ad683d9d7aaa68f2cdab3f1867d7ac01e7305319347765,False,not_publicly_released_in_current_extract
RMCT_COMP_0032,24100,Primary_Metal_Production,usable_rich,1,3568,SHA-256,10dec1f85dd9265e87acac182cd2514f2ee9422f3d744187516b1d965b4d1668,False,not_publicly_released_in_current_extract
RMCT_COMP_0033,24100,Primary_Metal_Production,usable,1,2379,SHA-256,4968f904259ea1622cca2c20c185f83353eb2b22d4851378195f167c6f903953,False,not_publicly_released_in_current_extract
RMCT_COMP_0034,24100,Primary_Metal_Production,usable_rich,1,5355,SHA-256,572c1e93ed431063f9e800d6121549717187939aef22622db591ae5bc6be0772,False,not_publicly_released_in_current_extract
RMCT_COMP_0035,24100,Primary_Metal_Production,very_short,1,297,SHA-256,6b52f0161c8d6bdab56f8e2fcb3e8770b19ded400324a790fc1dbc824c8c9a01,False,not_publicly_released_in_current_extract
RMCT_COMP_0036,24100,Primary_Metal_Production,usable,1,1597,SHA-256,825c25ab16a4d40ce3f4a219fb15c204aa6a735eb6fef168f0951e72c1c10b19,False,not_publicly_released_in_current_extract
RMCT_COMP_0037,24100,Primary_Metal_Production,usable_rich,1,9048,SHA-256,118f98cd65a1be03d378b0c378dcf5694c5a10e1fde2d987a92f92a167899d86,False,not_publicly_released_in_current_extract
RMCT_COMP_0038,24100,Primary_Metal_Production,usable,1,1275,SHA-256,5a4a7feb3ac486f6cfd973433fe4f9cb61957231a155629d2e007fb3caea3f85,False,not_publicly_released_in_current_extract
RMCT_COMP_0039,24100,Primary_Metal_Production,usable,1,1815,SHA-256,97f9302edcb3953199094018143d4c64940e8a37b7b87c3ea3ed5d1d34dee4d6,False,not_publicly_released_in_current_extract
RMCT_COMP_0040,24100,Primary_Metal_Production,short_but_usable,1,491,SHA-256,6fcbc5b96406f39fb47a121ab42e75b66849cbff91f9df356672ce58775010b8,False,not_publicly_released_in_current_extract
RMCT_COMP_0041,24100,Primary_Metal_Production,usable,1,1681,SHA-256,b11f60ea86553f4663e5fb17155edd4487ffcede1d99833b18569dc9ecd74c1b,False,not_publicly_released_in_current_extract
RMCT_COMP_0042,24100,Primary_Metal_Production,usable,1,1632,SHA-256,14fc84b3679468c8260ca82a81ae9439189c5e71bc965e801cd9e1facd4f1ea9,False,not_publicly_released_in_current_extract
RMCT_COMP_0043,24100,Primary_Metal_Production,usable_rich,1,3805,SHA-256,b89b0dd8f0912e3f65ac9404007f36f312a5530e0fd9572d101c4dbd5557f6b5,False,not_publicly_released_in_current_extract
RMCT_COMP_0044,24100,Primary_Metal_Production,usable_rich,1,6776,SHA-256,1f2bb9521d1cda2f5a3593d6a2bfe71867761e5b8df1eea0a1210be6ec7022a5,False,not_publicly_released_in_current_extract
RMCT_COMP_0045,24100,Primary_Metal_Production,usable_rich,1,11661,SHA-256,00aa70e4a0a49bb3221f1f0f8acc72e6eb8e6d01443e59434bd8306ebfd0e471,False,not_publicly_released_in_current_extract
RMCT_COMP_0046,24100,Primary_Metal_Production,usable_rich,1,4037,SHA-256,50e7ef0b0c6f11cf01280c16c0c8e4b6860741bb84ee42e8dd4bf4438049c063,False,not_publicly_released_in_current_extract
RMCT_COMP_0047,24200,Primary_Metal_Production,usable_rich,1,4900,SHA-256,398d3ca1bd432b08f9f11728ee08491b36e8e8091fe1820dc1fa93e12a6f6324,False,not_publicly_released_in_current_extract
RMCT_COMP_0048,24200,Primary_Metal_Production,short_but_usable,1,814,SHA-256,06af7e59e47c606d916a6c7749e21ab8b4a5b1d31514a8ee0080b83e1827375d,False,not_publicly_released_in_current_extract
RMCT_COMP_0049,24200,Primary_Metal_Production,usable_rich,1,8635,SHA-256,1a8e994b475e5183f7cce642ab4d196a75ecf417096ce5431c3e9d2781defa32,False,not_publicly_released_in_current_extract
RMCT_COMP_0050,24200,Primary_Metal_Production,usable_rich,1,4702,SHA-256,0348ecaddd98f63a3e939c45974276427fc5b25114ac13e2bb0563e77ba456a8,False,not_publicly_released_in_current_extract
RMCT_COMP_0051,24200,Primary_Metal_Production,short_but_usable,1,326,SHA-256,1d034c7ead8eaee76034019334ffc285ac5087f6fdeb2ed7599c9224dfd3589f,False,not_publicly_released_in_current_extract
RMCT_COMP_0052,24200,Primary_Metal_Production,usable,1,1475,SHA-256,c030b137129e98c2bc97f39740b4a5e8b1ca2d7cb65d5720fb537ad569eeb245,False,not_publicly_released_in_current_extract
RMCT_COMP_0053,24200,Primary_Metal_Production,usable,1,1953,SHA-256,dc380c6b6b6964e0b463392adb7f9999c4944218098dab8a587c7e7c1956378f,False,not_publicly_released_in_current_extract
