company_id,company_name_public,sic_code,regional_folder,website_available,website_text_status,quality_flag,n_pages,company_text_length,crawl_date
RMCT_COMP_0044,Uss Limited,24100,Primary_Metal_Production,True,SUCCESS,usable_rich,1,6776,not_publicly_released_in_current_extract
RMCT_COMP_0045,Vdl Steelweld Uk Limited,24100,Primary_Metal_Production,True,SUCCESS,usable_rich,1,11661,not_publicly_released_in_current_extract
RMCT_COMP_0046,Zinco Midlands Limited,24100,Primary_Metal_Production,True,SUCCESS,usable_rich,1,4037,not_publicly_released_in_current_extract
RMCT_COMP_0047,A C Steels Ltd,24200,Primary_Metal_Production,True,SUCCESS,usable_rich,1,4900,not_publicly_released_in_current_extract
RMCT_COMP_0048,A M Ductwork Limited,24200,Primary_Metal_Production,True,PARTIAL,short_but_usable,1,814,not_publicly_released_in_current_extract
RMCT_COMP_0049,Biogas Products Limited,24200,Primary_Metal_Production,True,SUCCESS,usable_rich,1,8635,not_publicly_released_in_current_extract
RMCT_COMP_0050,Elite Tube Limited,24200,Primary_Metal_Production,True,SUCCESS,usable_rich,1,4702,not_publicly_released_in_current_extract
RMCT_COMP_0051,Every Exhaust Part Limited,24200,Primary_Metal_Production,True,PARTIAL,short_but_usable,1,326,not_publicly_released_in_current_extract
RMCT_COMP_0052,Hallen Engineering Limited,24200,Primary_Metal_Production,True,SUCCESS,usable,1,1475,not_publicly_released_in_current_extract
RMCT_COMP_0053,Imperial Metal Polishing Limited,24200,Primary_Metal_Production,True,SUCCESS,usable,1,1953,not_publicly_released_in_current_extract
RMCT_COMP_0054,Isaac H Grainger Son Limited,24200,Primary_Metal_Production,True,SUCCESS,usable_rich,1,6379,not_publicly_released_in_current_extract
RMCT_COMP_0055,J M Tubes Limited,24200,Primary_Metal_Production,True,SUCCESS,usable_rich,1,3692,not_publicly_released_in_current_extract
RMCT_COMP_0056,Laranca Engineering Limited,24200,Primary_Metal_Production,True,SUCCESS,usable,1,1449,not_publicly_released_in_current_extract
RMCT_COMP_0057,Marcegaglia Uk Limited,24200,Primary_Metal_Production,True,SUCCESS,usable_rich,1,5411,not_publicly_released_in_current_extract
RMCT_COMP_0058,Mueller Europe Investment Company Ltd,24200,Primary_Metal_Production,True,SUCCESS,usable,1,2250,not_publicly_released_in_current_extract
RMCT_COMP_0059,Nautic Steels Limited,24200,Primary_Metal_Production,True,SUCCESS,usable_rich,1,3038,not_publicly_released_in_current_extract
RMCT_COMP_0060,Ndt Engineering Ltd,24200,Primary_Metal_Production,True,SUCCESS,usable_rich,1,5710,not_publicly_released_in_current_extract
